사업장명칭,주사육업종,사업장소재지(도로명),사육두수
대성농장,산양,경상남도 진주시 지수면 지수로 349-10,100
성찬농장,한우,경상남도 진주시 지수면 승산길 12,3
황소골농장,한우,경상남도 진주시 지수면 지수로450번길 30-31,6
덕하농장,한우,경상남도 진주시 지수면 승산길 16,3
성용농장,한우,경상남도 진주시 지수면 지수로 424-9,11
수현농장,한우,,9
용준농장,한우,경상남도 진주시 주약약골길 22-3 (주약동),2
혜창농원가든,산양,경상남도 진주시 대곡면 덕곡길152번길 27-14,44
석도농장,한우,경상남도 진주시 대곡면 대화로105번길 101-9,6
창근농장,한우,경상남도 진주시 대곡면 진의로 1382-53,10
동진농장,한우,경상남도 진주시 대곡면 진의로964번길 15-15,1
석금농장,육계,경상남도 진주시 대곡면 소실길 166-1,60
갑성농장,한우,경상남도 진주시 대곡면 진의로 1190-15,2
판수농장,사슴,경상남도 진주시 대곡면 진의로 1193-31,13
기철농장,한우,경상남도 진주시 대곡면 월암로456번길 66-13,1
춘택농장,한우,경상남도 진주시 대곡면 월암로 476-6,2
판용농장,한우,경상남도 진주시 대곡면 월암로300번길 24,2
효식농장,한우,경상남도 진주시 대곡면 유곡로 59-6,1
냉정농장,한우,경상남도 진주시 집현면 냉정길276번길 70,2
혈암농장,한우,,12
미소엔에그,종계/산란계,경상남도 진주시 하촌로 251 (하촌동),500
달골농장,한우,경상남도 진주시 일반성면 동부로 1919-92,30
박청우농장,한우,경상남도 진주시 사봉면 부계길 114-9,1
이상수농장,한우,,5
정호욱농장,한우,경상남도 진주시 사봉면 우곡길 44,4
김수진농장,한우,경상남도 진주시 사봉면 창촌길45번길 59-88,26
외동농장,한우,경상남도 진주시 이반성면 발산길11번길 45,7
봉조농장,한우,경상남도 진주시 진성면 온수길 94,2
만준축산,한우,경상남도 진주시 진성면 온수길59번길 22-7,1
오영환농장,한우,경상남도 진주시 진성면 온수길 108,1
수용농장,한우,,8
두곡농장,한우,경상남도 진주시 진성면 일사로487번길 18,6
김덕곤농장,한우,,15
남승희축사,한우,경상남도 진주시 진성면 일사로499번길 29-8,10
민환농장,한우,경상남도 진주시 일반성면 운천길202번길 82,10
가화농장,한우,경상남도 진주시 명석면 신풍길 25,24
경상국립대학교 종합농장,종계/산란계,경상남도 진주시 내동면 내동로139번길 8,2016
온누리 농장,돼지,경상남도 진주시 금곡면 금곡로83번길 55,400
한용녀농장,한우,경상남도 진주시 이반성면 발산길48번길 18,5
박두원농장,한우,경상남도 진주시 이반성면 오봉산로628번길 41,5
진산농원농장,한우,경상남도 진주시 이반성면 가산길 22-4,3
심재주농장,한우,경상남도 진주시 이반성면 오봉산로1018번길 10,4
장우조농장,한우,경상남도 진주시 이반성면 오봉산로949번길 71,1
김봉수농장,한우,경상남도 진주시 이반성면 대천길 141-4,6
고영화농장,한우,경상남도 진주시 이반성면 대천길 150,7
강창환농장,한우,경상남도 진주시 이반성면 대천길 164-8,9
허종열농장,한우,경상남도 진주시 이반성면 진마대로2498번길 75-16,14
김치원농장,한우,경상남도 진주시 이반성면 오봉산로628번길 53,4
개양농장,사슴,경상남도 진주시 문산읍 개양로 263-70,50
기수농장,한우,경상남도 진주시 이반성면 하곡로 67-9,9
정한농장,한우,경상남도 진주시 이반성면 하곡로 90-4,11
정순이농장,산양,,38
차오수농장,한우,경상남도 진주시 금곡면 월아산로 484,6
온누리농장,한우,경상남도 진주시 금곡면 월아산로 204,8
이칠기농장,한우,경상남도 진주시 이반성면 하곡로 163,7
고병옥농장,한우,경상남도 진주시 이반성면 반성로229번길 15,10
김수웅농장,한우,경상남도 진주시 진성면 일사로 648-2,13
정동식농장,한우,경상남도 진주시 정촌면 정촌로279번길 7,2
신용화농장,한우,경상남도 진주시 정촌면 화개길 230,7
김임곤농장,산양,경상남도 진주시 정촌면 정촌로 555-21,6
남송현농장,한우,경상남도 진주시 사봉면 사군로263번길 20,30
서울농장,한우,,11
우진농장,한우,경상남도 진주시 대곡면 덕곡길 140,1
강호진농장,한우,,12
상인농장,한우,경상남도 진주시 이반성면 반성로 163-26,18
정건섭논장,한우,,5
김명주농장,한우,,10
정효갑농장,한우,경상남도 진주시 이반성면 발산길48번길 11,7
이인순농장,한우,경상남도 진주시 명석면 남성로128번길 54,2
허용도농장,한우,경상남도 진주시 명석면 관덕길 47-32,1
최춘분농장,한우,경상남도 진주시 이반성면 진마대로2520번길 76-5,3
홍순봉농장,한우,경상남도 진주시 일반성면 수목원로 47,3
홍경도농장,한우,경상남도 진주시 일반성면 수목원로55번길 7-7,3
손영정농장,한우,경상남도 진주시 일반성면 수목원로47번길 11,5
조봉제농장,한우,경상남도 진주시 일반성면 개암길 66,5
전판섭농장,한우,,7
최동일농장,한우,경상남도 진주시 일반성면 운천길202번길 78-3,4
강재성농장,한우,경상남도 진주시 일반성면 개암길9번길 4-8,15
강정숙농장,한우,경상남도 진주시 일반성면 개암길 51-4,7
이정의농장,한우,경상남도 진주시 사봉면 지사로156번길 28-4,4
이종수농장,한우,경상남도 진주시 수곡면 사곡로719번길 46-36,17
이춘자농장,산양,,17
장재농장,산양,,13
제빈농장,한우,경상남도 진주시 주약약골길75번길 31 (주약동),5
박주용농장,한우,경상남도 진주시 서장대로61번길 18 (판문동),13
심신농장,한우,,21
정동효농장,한우,경상남도 진주시 이반성면 발산길48번길 4,2
금당골농장,한우,경상남도 진주시 금산면 월아산로 1296-100,83
농업회사법인 경남흑염소(주),산양,,10
황형찬농장,한우,경상남도 진주시 명석면 진주대로 2624-4,6
인담농장,돼지,경상남도 진주시 금곡면 무선산로 466-9,1550
수리농장,한우,경상남도 진주시 일반성면 일사로 198-35,85
강현규농장,한우,,30
송효현농장,한우,경상남도 진주시 금곡면 구암두문로986번길 40-4,8
전종배농장,돼지,경상남도 진주시 명석면 판문로495번길 1-3,30
김정옥농장,산양,,80
남덕현농장,한우,경상남도 진주시 이반성면 오봉산로761번길 83-30,4
갑순농장,산양,경상남도 진주시 지수면 지사로 831-100,21
임종자농장,한우,,2
제일농장,한우,경상남도 진주시 이반성면 반성로229번길 34-3,10
호성농장,한우,경상남도 진주시 이반성면 길성길 61,5
송점임농장,한우,경상남도 진주시 이반성면 길성길 63,7
오방농장,한우,경상남도 진주시 미천면 어옥로 18-10,2
바우농장,산양,경상남도 진주시 집현면 향양로239번길 120,80
한덕농장,한우,경상남도 진주시 금곡면 월아산로480번길 25-5,5
한우사육장,한우,경상남도 진주시 금곡면 구암두문로 925-13,20
범용사슴농장,사슴,경상남도 진주시 대곡면 진의로 668-6,8
병오농장,한우,,9
밤실농장,산양,,39
재익농장,한우,경상남도 진주시 진성면 일사로 567-58,16
토마토농장,한우,경상남도 진주시 내동면 산유로488번길 32,3
상철농장,한우,경상남도 진주시 사봉면 사군로231번길 3,2
대선농장,한우,경상남도 진주시 사봉면 모곡길 91-6,3
"소, 염소 축사",산양,경상남도 진주시 미천면 상미로 479-1,17
준길농장,한우,경상남도 진주시 미천면 상미로 61,2
허두옥농장,한우,,2
제2가선농장,돼지,경상남도 진주시 일반성면 반성로127번길 79,700
혜원농장,육계,경상남도 진주시 사봉면 사군로 677-70,37000
영광농원,종계/산란계,,100
두준농원송암농장,산양,,50
태만농장,한우,경상남도 진주시 금곡면 죽곡길105번길 17-4,2
정아농장,한우,경상남도 진주시 주약약골길 24 (주약동),2
명수농장,한우,경상남도 진주시 명석면 가화로626번길 66,2
풀빛사슴농장,사슴,경상남도 진주시 문산읍 이곡길 55,3
호인농장,한우,경상남도 진주시 대곡면 대화로105번길 86-14,8
